"Timestamp","Which year are you in?","How are you feeling right now?","On a scale of 1-100, how would you express this feeling?","Gender","Age","Your location ?","Relationship status","Are you happy with your financial state?","How much have you succeeded to cope up with the environment of your educational institution?","Understanding with your family members?","Are you feeling pressure in your study or work right now?","Are you satisfied with your academic result?","Are you happy with your living place?","Who supports you when you are not succeeding in your academic life?","Have you used any social media within the last 6 hours?","Do you have inferiority complex? ","Are you satisfied with your meal today?","Are you feeling sick/health issues today?","Have you done any recreational activity (sports, gaming, hobby etc.) today?","How long did you sleep last night?(in hours)"
"2021/01/30 11:34:21 PM GMT+6","4th year","Good","89","Male","23","Hall-Mess","Single","Yes","3","Normal","No","No","Yes","Family","Yes","No","Neutral","No","Yes","9"
"2021/01/30 11:34:23 PM GMT+6","4th year","Good","78","Male","23","Hall-Mess","Single","Yes","5","Good","No","Yes","Yes","Friends","Yes","No","Neutral","No","No","8"
"2021/01/30 11:34:25 PM GMT+6","4th year","Very bad","16","Male","23","Hall-Mess","Single","No","3","Bad","Yes","Yes","Yes","Friends","Yes","Yes","Neutral","Yes","Yes","4"
"2021/01/30 11:34:30 PM GMT+6","4th year","Very bad","4","Male","23","Hall-Mess","Single","No","2","Normal","Yes","No","No","Family","Yes","No","Neutral","No","Yes","3"
"2021/01/30 11:34:33 PM GMT+6","4th year","Very bad","1","Male","23","Playground","Single","Yes","3","Bad","Yes","No","Yes","Friends","Yes","Yes","Yes","Yes","No","4"
"2021/01/30 11:34:34 PM GMT+6","4th year","Very bad","6","Male","23","Hall-Mess","Single","No","2","Bad","Yes","Yes","Yes","Friends","Yes","Maybe","Yes","Yes","Yes","3"
"2021/01/30 11:34:39 PM GMT+6","4th year","Very good","95","Male","23","Department","Single","Yes","3","Normal","No","No","Yes","Friends","Yes","No","Yes","No","No","7"
"2021/01/30 11:34:45 PM GMT+6","4th year","Normal","57","Male","23","Home","Single","Yes","5","Good","Yes","Yes","Yes","Family","Yes","Maybe","Yes","Yes","No","8"
"2021/01/30 11:34:50 PM GMT+6","4th year","Good","83","Male","23","Hall-Mess","Single","Yes","5","Good","No","No","Yes","Friends","Yes","No","Yes","No","Yes","9"
"2021/01/30 11:34:55 PM GMT+6","4th year","Good","75","Male","23","Home","Single","Yes","4","Good","No","No","Yes","Family","Yes","No","Yes","No","Yes","7"
"2021/01/30 11:35:00 PM GMT+6","4th year","Very bad","7","Male","23","Home","Single","Yes","1","Normal","Yes","No","Yes","Family","Yes","No","Yes","Yes","No","6"
"2021/01/30 11:35:02 PM GMT+6","4th year","Good","81","Male","23","Department","Single","Yes","4","Good","No","No","Yes","Friends","Yes","No","Yes","No","Yes","7"
"2021/01/30 11:35:04 PM GMT+6","4th year","Normal","61","Male","23","Home","Single","Yes","5","Good","No","Yes","Yes","Friends","Yes","Maybe","Neutral","Yes","Yes","7"
"2021/01/30 11:35:09 PM GMT+6","4th year","Bad","28","Male","23","Home","Single","Yes","1","Normal","Yes","Yes","Yes","Family","Yes","No","No","Yes","Yes","4"
"2021/01/30 11:35:14 PM GMT+6","4th year","Normal","67","Male","23","Department","Single","Yes","4","Normal","Yes","Yes","No","Friends","Yes","No","Neutral","Yes","Yes","7"
"2021/01/30 11:35:16 PM GMT+6","4th year","Normal","57","Male","23","Hall-Mess","Single","Yes","4","Normal","Yes","Yes","Yes","Friends","Yes","Maybe","Neutral","Yes","No","8"
"2021/01/30 11:35:18 PM GMT+6","4th year","Very bad","1","Male","23","Home","Single","Yes","3","Bad","Yes","No","No","Family","Yes","Yes","Yes","Yes","Yes","5"
"2021/01/30 11:35:23 PM GMT+6","4th year","Very good","93","Male","23","Home","Single","Yes","4","Good","No","No","Yes","Family","Yes","No","Yes","No","No","8"
"2021/01/30 11:35:28 PM GMT+6","4th year","Bad","25","Male","23","Hall-Mess","Single","No","1","Bad","Yes","No","Yes","Friends","Yes","Maybe","No","Yes","Yes","4"
"2021/01/30 11:35:33 PM GMT+6","4th year","Normal","60","Male","23","Hall-Mess","Single","No","5","Normal","Yes","No","No","Family","Yes","No","Yes","Yes","No","7"
"2021/01/30 11:35:38 PM GMT+6","4th year","Normal","50","Male","23","Department","Single","No","3","Normal","No","Yes","Yes","Family","Yes","Maybe","Neutral","Yes","No","6"
"2021/01/30 11:35:40 PM GMT+6","4th year","Very bad","12","Male","23","Playground","Single","Yes","1","Bad","Yes","Yes","No","Friends","Yes","Yes","No","No","Yes","6"
"2021/01/30 11:35:42 PM GMT+6","4th year","Very good","94","Male","23","Playground","Single","Yes","3","Good","No","No","Yes","Family","Yes","No","Neutral","No","Yes","10"
"2021/01/30 11:35:44 PM GMT+6","4th year","Normal","65","Male","23","Home","Single","No","5","Normal","Yes","No","No","Friends","Yes","No","Neutral","No","Yes","8"
"2021/01/30 11:35:46 PM GMT+6","4th year","Very bad","5","Male","23","Playground","Single","Yes","3","Normal","Yes","Yes","Yes","Family","Yes","Yes","No","No","No","4"
"2021/01/30 11:35:51 PM GMT+6","4th year","Very good","97","Male","23","Department","Single","Yes","4","Normal","No","Yes","Yes","Family","Yes","No","Neutral","No","No","9"
"2021/01/30 11:35:56 PM GMT+6","4th year","Good","84","Male","23","Playground","Single","Yes","3","Good","No","Yes","Yes","Family","Yes","No","Neutral","No","No","9"
"2021/01/30 11:35:58 PM GMT+6","4th year","Good","73","Male","23","Hall-Mess","Single","Yes","5","Good","No","No","Yes","Family","Yes","No","Yes","No","No","8"
"2021/01/30 11:36:03 PM GMT+6","4th year","Very good","92","Male","23","Hall-Mess","Single","Yes","3","Good","No","No","Yes","Family","Yes","No","Neutral","No","Yes","8"
"2021/01/30 11:36:07 PM GMT+6","4th year","Good","77","Male","23","Playground","Single","Yes","4","Good","No","No","Yes","Friends","Yes","No","Neutral","No","Yes","7"
"2021/01/30 11:36:07 PM GMT+6","4th year","Good","86","Male","23","Department","Single","Yes","4","Normal","No","No","Yes","Family","Yes","No","Neutral","No","No","10"
"2021/01/30 11:36:09 PM GMT+6","4th year","Very bad","8","Male","23","Department","Single","Yes","3","Bad","Yes","No","No","Friends","Yes","Yes","Yes","Yes","Yes","6"
"2021/01/30 11:36:14 PM GMT+6","4th year","Bad","20","Male","23","Playground","Single","Yes","2","Normal","Yes","No","Yes","Family","Yes","No","Yes","Yes","No","4"
"2021/01/30 11:36:16 PM GMT+6","4th year","Very bad","2","Male","23","Hall-Mess","Single","Yes","3","Good","Yes","Yes","Yes","Friends","Yes","No","Neutral","No","Yes","5"
"2021/01/30 11:36:21 PM GMT+6","4th year","Very good","100","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","No","9"
"2021/01/30 11:36:26 PM GMT+6","4th year","Good","71","Male","23","Hall-Mess","Single","Yes","3","Good","No","No","Yes","Family","Yes","No","Yes","No","Yes","9"
"2021/01/30 11:36:28 PM GMT+6","4th year","Very good","93","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Friends","Yes","No","Yes","No","No","8"
"2021/01/30 11:36:33 PM GMT+6","4th year","Normal","52","Male","23","Hall-Mess","Single","Yes","3","Normal","No","Yes","Yes","Friends","Yes","No","Neutral","Yes","No","7"
"2021/01/30 11:36:38 PM GMT+6","4th year","Good","87","Male","23","Hall-Mess","Single","Yes","5","Good","No","Yes","Yes","Friends","Yes","No","Yes","No","No","10"
"2021/01/30 11:36:43 PM GMT+6","4th year","Very good","91","Male","23","Playground","Single","Yes","5","Good","No","No","Yes","Family","Yes","No","Yes","No","Yes","10"
"2021/01/30 11:36:45 PM GMT+6","4th year","Very bad","3","Male","23","Department","Single","Yes","1","Normal","Yes","Yes","Yes","Family","Yes","Yes","Neutral","No","No","4"
"2021/01/30 11:36:47 PM GMT+6","4th year","Very bad","2","Male","23","Home","Single","Yes","1","Good","Yes","Yes","Yes","Friends","Yes","No","Yes","No","Yes","3"
"2021/01/30 11:36:52 PM GMT+6","4th year","Normal","61","Male","23","Playground","Single","Yes","5","Normal","No","No","No","Family","Yes","Maybe","Neutral","No","Yes","7"
"2021/01/30 11:36:57 PM GMT+6","4th year","Very good","94","Male","23","Hall-Mess","Single","Yes","5","Good","No","No","Yes","Family","Yes","No","Neutral","No","No","7"
"2021/01/30 11:36:59 PM GMT+6","4th year","Very bad","5","Male","23","Home","Single","Yes","2","Good","Yes","Yes","No","Family","Yes","Maybe","Neutral","Yes","Yes","3"
"2021/01/30 11:37:01 PM GMT+6","4th year","Good","84","Male","23","Department","Single","Yes","4","Normal","No","No","Yes","Family","Yes","No","Neutral","No","Yes","7"
"2021/01/30 11:37:06 PM GMT+6","4th year","Bad","44","Male","23","Department","Single","No","1","Bad","Yes","Yes","Yes","Friends","Yes","Maybe","No","No","No","4"
"2021/01/30 11:37:09 PM GMT+6","4th year","Very bad","18","Male","23","Home","Single","No","2","Normal","Yes","No","No","Family","Yes","No","No","Yes","Yes","3"
"2021/01/30 11:37:10 PM GMT+6","4th year","Very bad","8","Male","23","Home","Single","No","1","Good","Yes","Yes","Yes","Family","Yes","No","Yes","Yes","No","4"
"2021/01/30 11:37:12 PM GMT+6","4th year","Very good","98","Male","23","Playground","Single","Yes","4","Normal","No","Yes","Yes","Friends","Yes","No","Neutral","No","No","8"
"2021/01/30 11:37:15 PM GMT+6","4th year","Good","89","Male","23","Hall-Mess","Single","Yes","5","Normal","No","No","Yes","Family","Yes","No","Neutral","No","No","9"
"2021/01/30 11:37:17 PM GMT+6","4th year","Bad","45","Male","23","Department","Single","No","2","Good","Yes","No","No","Friends","Yes","Yes","No","Yes","No","4"
"2021/01/30 11:37:22 PM GMT+6","4th year","Very good","92","Male","23","Hall-Mess","Single","Yes","5","Normal","No","Yes","Yes","Friends","Yes","No","Yes","No","No","9"
"2021/01/30 11:37:24 PM GMT+6","4th year","Very good","93","Male","23","Home","Single","Yes","5","Normal","No","No","Yes","Friends","Yes","No","Yes","No","Yes","7"
"2021/01/30 11:37:26 PM GMT+6","4th year","Normal","59","Male","23","Department","Single","No","5","Good","Yes","No","No","Friends","Yes","No","Yes","No","No","6"
"2021/01/30 11:37:28 PM GMT+6","4th year","Very good","92","Male","23","Playground","Single","Yes","5","Good","No","Yes","Yes","Family","Yes","No","Neutral","No","Yes","9"
"2021/01/30 11:37:30 PM GMT+6","4th year","Good","87","Male","23","Department","Single","Yes","3","Normal","No","Yes","Yes","Friends","Yes","No","Yes","No","No","7"
"2021/01/30 11:37:35 PM GMT+6","4th year","Very bad","12","Male","23","Playground","Single","No","1","Bad","Yes","No","Yes","Family","Yes","Yes","Neutral","No","No","7"
"2021/01/30 11:37:37 PM GMT+6","4th year","Bad","42","Male","23","Department","Single","Yes","3","Normal","Yes","No","No","Family","Yes","Yes","No","No","Yes","7"
"2021/01/30 11:37:39 PM GMT+6","4th year","Bad","31","Male","23","Department","Single","No","1","Good","Yes","No","No","Family","Yes","No","Neutral","No","No","3"
"2021/01/30 11:37:44 PM GMT+6","4th year","Very good","93","Male","23","Playground","Single","Yes","4","Normal","No","Yes","Yes","Family","Yes","No","Neutral","No","Yes","7"
"2021/01/30 11:37:49 PM GMT+6","4th year","Very good","98","Male","23","Playground","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Neutral","No","No","10"
"2021/01/30 11:37:51 PM GMT+6","4th year","Good","77","Male","23","Department","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Neutral","No","Yes","8"
"2021/01/30 11:37:53 PM GMT+6","4th year","Bad","44","Male","23","Playground","Single","Yes","2","Bad","Yes","Yes","No","Family","Yes","No","Neutral","Yes","Yes","7"
"2021/01/30 11:37:58 PM GMT+6","4th year","Very bad","3","Male","23","Playground","Single","Yes","1","Good","Yes","Yes","Yes","Family","Yes","Maybe","Neutral","Yes","Yes","5"
"2021/01/30 11:38:03 PM GMT+6","4th year","Good","89","Male","23","Hall-Mess","Single","Yes","5","Normal","No","Yes","Yes","Friends","Yes","No","Neutral","No","No","9"
"2021/01/30 11:38:08 PM GMT+6","4th year","Very good","91","Male","23","Home","Single","Yes","3","Normal","No","Yes","Yes","Family","Yes","No","Yes","No","No","9"
"2021/01/30 11:38:13 PM GMT+6","4th year","Very bad","11","Male","23","Hall-Mess","Single","Yes","1","Good","Yes","No","Yes","Friends","Yes","Yes","Neutral","No","No","3"
"2021/01/30 11:38:15 PM GMT+6","4th year","Very good","100","Male","23","Home","Single","Yes","5","Good","No","Yes","Yes","Family","Yes","No","Neutral","No","Yes","10"
"2021/01/30 11:38:17 PM GMT+6","4th year","Normal","57","Male","23","Playground","Single","No","5","Good","Yes","Yes","No","Family","Yes","Maybe","Yes","No","Yes","6"
"2021/01/30 11:38:22 PM GMT+6","4th year","Normal","61","Male","23","Hall-Mess","Single","No","3","Good","No","No","Yes","Family","Yes","No","Neutral","Yes","Yes","8"
"2021/01/30 11:38:24 PM GMT+6","4th year","Normal","70","Male","23","Department","Single","No","5","Good","Yes","No","No","Friends","Yes","Maybe","Neutral","No","No","8"
"2021/01/30 11:38:26 PM GMT+6","4th year","Good","75","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Neutral","No","Yes","8"
"2021/01/30 11:38:31 PM GMT+6","4th year","Very good","93","Male","23","Department","Single","Yes","4","Normal","No","Yes","Yes","Family","Yes","No","Neutral","No","Yes","10"
"2021/01/30 11:38:33 PM GMT+6","4th year","Normal","66","Male","23","Hall-Mess","Single","Yes","4","Normal","No","Yes","Yes","Friends","Yes","Maybe","Neutral","No","Yes","6"
"2021/01/30 11:38:38 PM GMT+6","4th year","Bad","26","Male","23","Hall-Mess","Single","No","2","Normal","Yes","Yes","No","Family","Yes","No","Neutral","No","Yes","6"
"2021/01/30 11:38:43 PM GMT+6","4th year","Bad","26","Male","23","Playground","Single","Yes","3","Bad","Yes","Yes","No","Family","Yes","Maybe","No","No","Yes","5"
"2021/01/30 11:38:45 PM GMT+6","4th year","Very bad","10","Male","23","Hall-Mess","Single","Yes","1","Good","Yes","No","Yes","Friends","Yes","No","Neutral","Yes","No","6"
"2021/01/30 11:38:50 PM GMT+6","4th year","Very good","92","Male","23","Playground","Single","Yes","4","Normal","No","No","Yes","Friends","Yes","No","Neutral","No","No","8"
"2021/01/30 11:38:54 PM GMT+6","4th year","Good","89","Male","23","Hall-Mess","Single","Yes","3","Good","No","No","Yes","Family","Yes","No","Yes","No","Yes","10"
"2021/01/30 11:38:54 PM GMT+6","4th year","Very bad","10","Male","23","Department","Single","No","2","Bad","Yes","No","Yes","Family","Yes","Yes","No","No","No","7"
"2021/01/30 11:38:59 PM GMT+6","4th year","Very bad","14","Male","23","Playground","Single","Yes","1","Normal","Yes","No","Yes","Friends","Yes","No","Yes","Yes","Yes","5"
"2021/01/30 11:39:04 PM GMT+6","4th year","Normal","68","Male","23","Playground","Single","Yes","4","Normal","No","Yes","No","Family","Yes","Maybe","Neutral","No","No","6"
"2021/01/30 11:39:06 PM GMT+6","4th year","Bad","26","Male","23","Playground","Single","No","1","Normal","Yes","Yes","No","Family","Yes","No","Neutral","No","No","6"
"2021/01/30 11:39:08 PM GMT+6","4th year","Normal","53","Male","23","Hall-Mess","Single","Yes","4","Normal","No","No","Yes","Friends","Yes","Maybe","Neutral","No","Yes","7"
"2021/01/30 11:39:10 PM GMT+6","4th year","Normal","57","Male","23","Department","Single","No","4","Good","No","No","No","Friends","Yes","Maybe","Yes","No","No","7"
"2021/01/30 11:39:16 PM GMT+6","4th year","Good","76","Male","23","Department","Single","Yes","3","Good","No","Yes","Yes","Family","Yes","No","Neutral","No","Yes","9"
"2021/01/30 11:39:20 PM GMT+6","4th year","Good","77","Male","23","Hall-Mess","Single","Yes","3","Normal","No","No","Yes","Friends","Yes","No","Neutral","No","Yes","9"
"2021/01/30 11:39:22 PM GMT+6","4th year","Bad","27","Male","23","Home","Single","No","2","Good","Yes","Yes","Yes","Family","Yes","No","No","No","No","3"
"2021/01/30 11:39:27 PM GMT+6","4th year","Normal","58","Male","23","Department","Single","No","5","Normal","No","Yes","Yes","Family","Yes","Maybe","Yes","No","Yes","7"
"2021/01/30 11:39:32 PM GMT+6","4th year","Very bad","1","Male","23","Home","Single","Yes","2","Bad","Yes","Yes","Yes","Friends","Yes","No","No","No","No","4"
"2021/01/30 11:39:38 PM GMT+6","4th year","Good","80","Male","23","Department","Single","Yes","3","Good","No","Yes","Yes","Family","Yes","No","Neutral","No","No","9"
"2021/01/30 11:39:42 PM GMT+6","4th year","Very bad","18","Male","23","Home","Single","Yes","2","Bad","Yes","Yes","Yes","Family","Yes","Yes","No","Yes","Yes","4"
"2021/01/30 11:39:45 PM GMT+6","4th year","Very good","94","Male","23","Department","Single","Yes","5","Normal","No","Yes","Yes","Friends","Yes","No","Neutral","No","No","10"
"2021/01/30 11:39:50 PM GMT+6","4th year","Good","87","Male","23","Hall-Mess","Single","Yes","4","Good","No","Yes","Yes","Friends","Yes","No","Yes","No","Yes","10"
"2021/01/30 11:39:55 PM GMT+6","4th year","Bad","28","Male","23","Department","Single","No","2","Normal","Yes","No","Yes","Family","Yes","Yes","Neutral","No","Yes","5"
"2021/01/30 11:39:57 PM GMT+6","4th year","Bad","28","Male","23","Department","Single","No","2","Bad","Yes","No","Yes","Friends","Yes","Yes","No","No","No","3"
"2021/01/30 11:39:59 PM GMT+6","4th year","Very good","91","Male","23","Hall-Mess","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Neutral","No","Yes","8"
"2021/01/30 11:40:04 PM GMT+6","4th year","Good","73","Male","23","Hall-Mess","Single","Yes","4","Normal","No","Yes","Yes","Family","Yes","No","Yes","No","Yes","7"
"2021/01/30 11:40:09 PM GMT+6","4th year","Very good","91","Male","23","Playground","Single","Yes","3","Good","No","Yes","Yes","Family","Yes","No","Yes","No","Yes","8"
"2021/01/30 11:40:14 PM GMT+6","4th year","Bad","21","Male","23","Department","Single","No","2","Good","Yes","No","No","Family","Yes","No","Neutral","Yes","Yes","3"
"2021/01/30 11:40:16 PM GMT+6","4th year","Good","80","Male","23","Department","Single","Yes","4","Good","No","Yes","Yes","Friends","Yes","No","Neutral","No","Yes","8"
"2021/01/30 11:40:18 PM GMT+6","4th year","Very bad","16","Male","23","Playground","Single","No","3","Good","Yes","No","Yes","Friends","Yes","Maybe","No","No","Yes","5"
"2021/01/30 11:40:20 PM GMT+6","4th year","Good","89","Male","23","Home","Single","Yes","4","Normal","No","No","Yes","Family","Yes","No","Yes","No","No","10"
"2021/01/30 11:40:25 PM GMT+6","4th year","Bad","40","Male","23","Department","Single","Yes","1","Bad","Yes","Yes","Yes","Friends","Yes","Yes","Yes","Yes","Yes","7"
"2021/01/30 11:40:27 PM GMT+6","4th year","Very bad","18","Male","23","Playground","Single","Yes","1","Good","Yes","No","No","Family","Yes","Maybe","Neutral","No","Yes","4"
"2021/01/30 11:40:32 PM GMT+6","4th year","Bad","30","Male","23","Department","Single","Yes","3","Bad","Yes","Yes","Yes","Family","Yes","Maybe","No","Yes","No","4"
"2021/01/30 11:40:34 PM GMT+6","4th year","Very good","96","Male","23","Department","Single","Yes","3","Normal","No","No","Yes","Family","Yes","No","Neutral","No","Yes","8"
"2021/01/30 11:40:39 PM GMT+6","4th year","Normal","58","Male","23","Department","Single","Yes","5","Good","Yes","No","No","Friends","Yes","Maybe","Neutral","Yes","Yes","7"
"2021/01/30 11:40:44 PM GMT+6","4th year","Bad","36","Male","23","Home","Single","Yes","2","Bad","Yes","No","Yes","Family","Yes","Yes","No","No","No","3"
"2021/01/30 11:40:46 PM GMT+6","4th year","Very bad","8","Male","23","Hall-Mess","Single","No","2","Bad","Yes","No","No","Family","Yes","Maybe","Yes","Yes","Yes","4"
"2021/01/30 11:40:52 PM GMT+6","4th year","Good","88","Male","23","Playground","Single","Yes","3","Good","No","Yes","Yes","Friends","Yes","No","Yes","No","No","10"
"2021/01/30 11:40:56 PM GMT+6","4th year","Good","83","Male","23","Playground","Single","Yes","5","Normal","No","Yes","Yes","Family","Yes","No","Yes","No","Yes","7"
"2021/01/30 11:41:01 PM GMT+6","4th year","Very good","90","Male","23","Playground","Single","Yes","3","Normal","No","Yes","Yes","Friends","Yes","No","Yes","No","Yes","8"
"2021/01/30 11:41:03 PM GMT+6","4th year","Very good","97","Male","23","Playground","Single","Yes","5","Normal","No","No","Yes","Friends","Yes","No","Yes","No","No","9"
"2021/01/30 11:41:05 PM GMT+6","4th year","Normal","67","Male","23","Department","Single","No","4","Good","Yes","No","No","Friends","Yes","Maybe","Neutral","Yes","No","6"
"2021/01/30 11:41:10 PM GMT+6","4th year","Normal","59","Male","23","Playground","Single","No","5","Normal","No","No","No","Friends","Yes","Maybe","Yes","Yes","Yes","6"
"2021/01/30 11:41:15 PM GMT+6","4th year","Very good","93","Male","23","Department","Single","Yes","5","Good","No","Yes","Yes","Friends","Yes","No","Yes","No","Yes","8"
"2021/01/30 11:41:17 PM GMT+6","4th year","Very good","90","Male","23","Hall-Mess","Single","Yes","3","Normal","No","Yes","Yes","Friends","Yes","No","Yes","No","Yes","9"
"2021/01/30 11:41:22 PM GMT+6","4th year","Good","86","Male","23","Hall-Mess","Single","Yes","5","Normal","No","No","Yes","Friends","Yes","No","Neutral","No","Yes","8"
"2021/01/30 11:41:24 PM GMT+6","4th year","Good","88","Male","23","Playground","Single","Yes","3","Good","No","Yes","Yes","Family","Yes","No","Yes","No","Yes","7"
"2021/01/30 11:41:26 PM GMT+6","4th year","Very good","96","Male","23","Hall-Mess","Single","Yes","5","Normal","No","Yes","Yes","Family","Yes","No","Yes","No","No","8"
"2021/01/30 11:41:28 PM GMT+6","4th year","Good","85","Male","23","Hall-Mess","Single","Yes","5","Normal","No","Yes","Yes","Friends","Yes","No","Neutral","No","Yes","9"
"2021/01/30 11:41:33 PM GMT+6","4th year","Very good","95","Male","23","Department","Single","Yes","3","Normal","No","Yes","Yes","Friends","Yes","No","Yes","No","Yes","8"
"2021/01/30 11:41:38 PM GMT+6","4th year","Bad","36","Male","23","Hall-Mess","Single","Yes","2","Bad","Yes","No","No","Friends","Yes","No","Neutral","No","Yes","6"
"2021/01/30 11:41:40 PM GMT+6","4th year","Very bad","1","Male","23","Playground","Single","Yes","1","Good","Yes","Yes","No","Family","Yes","No","No","Yes","Yes","7"
"2021/01/30 11:41:42 PM GMT+6","4th year","Good","82","Male","23","Playground","Single","Yes","3","Normal","No","Yes","Yes","Friends","Yes","No","Yes","No","No","7"
